,Advertiser_ID,Advertiser_Name,Total_Creatives,Spend_USD,Regions,Elections
3053,AR340482673396940800,FRIENDS OF TIM BONNER,4,200,US,US-Federal
3056,AR340823659440504832,THE COMMITTEE TO ELECT NOLAND FOR JUDGE,1,200,US,US-Federal
3057,AR34083623510474752,FELLOW AMERICANS,2650,58500,US,US-Federal
3058,AR34091663689252864,DEFEND COLORADO,7,4200,US,US-Federal
3059,AR340989342098915328,FRIENDS OF JAHANA HAYES,11,25000,US,US-Federal
3060,AR341138806960816128,AMERICAN EDGE,48,68600,US,US-Federal
3062,AR341272638141759488,REP. MATT CARTWRIGHT - U.S. HOUSE OF REPRESENTATIVES,21,12800,US,US-Federal
3063,AR341289165175914496,JANET NGUYEN FOR ASSEMBLY 2020,4,25900,US,US-Federal
3064,AR341325174181724160,ILLINOISANS FOR INDEPENDENT WORK,11,59600,US,US-Federal
3065,AR341420762973863936,NATIONAL DEMOCRATIC TRAINING COMMITTEE PAC,486,750300,US,US-Federal
3066,AR341736391530512384,SAD REALITY ACCEPTANCE COMMITTEE,2,200,US,US-Federal
3068,AR342002885661294592,WENDY DAVIS FOR CONGRESS,197,182800,US,US-Federal
3070,AR34219035239383040,EXPLORATORY COMMITTEE FOR JOHN COX FOR GOVERNOR 2022,5,11700,US,US-Federal
3071,AR342216740672897024,ALL YOUR FRIENDS AND NEIGHBORS WHO SUPPORT JOHN BLAIR,4,3800,US,US-Federal
3072,AR342318651656896512,JDCA PAC,54,3600,US,US-Federal
3073,AR342332326832766976,NEW MAJORITY,30,33200,US,US-Federal
3074,AR342429839770255360,TENNEY FOR CONGRESS,45,13800,US,US-Federal
3075,AR342474026393796608,"FUEL MARKETING, LLC",4,400,US,US-Federal
3076,AR34250543119466496,HOUSING FIRST FUND,1407,21700,US,US-Federal
3077,AR342656201726623744,JASON NICHOLS FOR CONGRESS,4,300,US,US-Federal
3078,AR342669120988250112,TRAVIS OLER FOR US SENATE,13,200,US,US-Federal
3079,AR342793984277479424,"A BETTER WISCONSIN TOGETHER, INC.",26,227000,US,US-Federal
3080,AR342799447475879936,MAGGIE FOR NH,2,38000,US,US-Federal
3081,AR342807281496227840,DILLENDER FOR DELEGATE,19,4100,US,US-Federal
3082,AR343012374774546432,DEVIN CARROLL,2,1000,US,US-Federal
3085,AR343364768251248640,CAMPAIGN FUND OF GRETCHEN PIPER GRETCHEN PIPER FOR MINNESOTA SENATE % GRETCHEN PIPER,18,12600,US,US-Federal
3087,AR34365098487185408,COMMITTEE TO ELECT SHELLY A. HARRIS,3,7500,US,US-Federal
3088,AR343669436051357696,JOHN FITZGERALD KENNEDY LIBRARY FOUNDATION INCORPORATED,10,2000,US,US-Federal
3089,AR343672562787549184,ROMANCHUK FOR OHIO,15,5000,US,US-Federal
3090,AR343944485756993536,PENNSYLVANIA FAMILY COUNCIL,7,2100,US,US-Federal
3095,AR344139923948830720,FRIENDS OF JON MORGAN,78,800,US,US-Federal
3098,AR344507676228583424,CHANGE FOR ARIZONA 2024 PAC,6,200,US,US-Federal
3099,AR344531556246749184,NEIGHBORS FOR SYDNEY,17,3000,US,US-Federal
3100,AR344533274233667584,ANGELA A. BREWER,18,4800,US,US-Federal
3101,AR344616493519994880,TERM LIMITS SUPERPAC,24,59100,US,US-Federal
3102,AR344625495771447296,ROSILICIE OCHOA BOGH FOR SENATE 2020,15,2100,US,US-Federal
3103,AR344627832233656320,FRIENDS OF KEVIN THOMAS FOR SENATE,1,3700,US,US-Federal
3104,AR344734278703120384,STATE TEA PARTY EXPRESS,104,37300,US,US-Federal
3105,AR344944629021409280,FRIENDS OF MAGGIE HANSFORD,5,700,US,US-Federal
3106,AR344946965483618304,INTEGRITY FIRST PAC,3,68600,US,US-Federal
3107,AR345005995514134528,BOLLIER FOR KANSAS,27,395700,US,US-Federal
3108,AR34503980549668864,JERMAINE FOR HOUSE,56,4000,US,US-Federal
3109,AR345065850178371584,FREE THE PEOPLE FIGHT THE POWER FOUNDATION,24,19400,US,US-Federal
3110,AR345112991739412480,COMMON SENSE FOR THE COMMON GOOD,24,21200,US,US-Federal
3111,AR345317019865841664,KATHY MANNING FOR CONGRESS,28,21600,US,US-Federal
3113,AR345347325155082240,VOTE STACY HALL,8,1100,US,US-Federal
3114,AR345361000330952704,COMMITTEE TO ELECT KIMBERLY BIZON,53,2900,US,US-Federal
3117,AR345590798261157888,AMERICAN ASSOCIATION OF NURSE ANESTHETISTS SEPARATE SEGREGATED  FUND (CRNA-PAC),12,41400,US,US-Federal
3118,AR3456520960344064,ASHLEY AUNE FOR MISSOURI,4,3300,US,US-Federal
3120,AR345776237769129984,REP. ANDY KIM - U.S. HOUSE OF REPRESENTATIVES,53,13700,US,US-Federal
3121,AR34578884779311104,JOHN L KUEMPEL CAMPAIGN,20,2800,US,US-Federal
3122,AR345815029913747456,HARRINGTON FOR SENATE ELECTION CAMPAIGN FUND,1,500,US,US-Federal
3123,AR345833240575082496,CITIZENS FOR ANN GILLESPIE,3,1700,US,US-Federal
3124,AR345890346460250112,THE SILICON VALLEY ORGANIZATION PAC,1,400,US,US-Federal
3125,AR346096573609934848,KYLE HORTON FOR CONGRESS,1,2100,US,US-Federal
3127,AR346192918316318720,MORGAN HARPER FOR CONGRESS,3,9300,US,US-Federal
3128,AR346269196935495680,MICHIGAN REPUBLICAN PARTY,158,372800,US,US-Federal
3129,AR346269781051047936,ANDRIA FOR VIRGINIA,5,8400,US,US-Federal
3130,AR346305343380258816,ILLINOIS REPUBLICAN PARTY,9,4300,US,US-Federal
3131,AR346365438562664448,JIM LAMON FOR SENATE,6,65600,US,US-Federal
3132,AR346442919772684288,"WINNING FOR WOMEN, INC. PAC",5,4800,US,US-Federal
3133,AR346472950184017920,EDWARD E BERGER FOR STATE SENATE DISTRICT 34,9,7100,US,US-Federal
3136,AR346649627958706176,JOHN CARTER FOR CONGRESS,83,48200,US,US-Federal
3137,AR346749477358403584,DENNIS CROSBY,1,0,US,US-Federal
3138,AR346998207504449536,JOHNSON-HERTERICH,1,0,US,US-Federal
3139,AR347035865777700864,DIALLO FOR THE BRONX,6,4800,US,US-Federal
3141,AR347222473516777472,MIKE MILLER FOR CONGRESS,3,300,US,US-Federal
3142,AR347395096842338304,PETE AGUILAR FOR CONGRESS,28,112600,US,US-Federal
3143,AR3474456743772160,MIKIE SHERRILL FOR CONGRESS,44,75500,US,US-Federal
3144,AR347541778565431296,Sig for Senate,52,17200,US,US-Federal
3145,AR347568819679526912,FINKENAUER FOR CONGRESS,92,113000,US,US-Federal
3146,AR347703784731836416,BECCHI FOR CONGRESS,45,3800,US,US-Federal
3147,AR34770955716788224,"TBP PRODUCTIONS, LLP",2,1700,US,US-Federal
3149,AR347776283779792896,OHIO PROSPERITY FUND,1,10500,US,US-Federal
3150,AR347872284888793088,COFFMAN FOR CONGRESS 2018,15,16500,US,US-Federal
3151,AR347905270237626368,HERITAGE ACTION FOR AMERICA,162,62700,US,US-Federal
3152,AR347943237748523008,ELECT ELIZABETH BENNETT-PARKER,6,1100,US,US-Federal
3153,AR348170664856780800,KRISTINE REEVES FOR CONGRESS,1,500,US,US-Federal
3154,AR34835208427536384,BRANDON CHAFEE,5,700,US,US-Federal
3155,AR348429943442505728,ELECT AARON LIEBERMAN,3,7300,US,US-Federal
3156,AR348458358946136064,BREAKTHROUGH IDEAS,2,1000,US,US-Federal
3158,AR348473030554419200,TODD GLORIA FOR MAYOR 2020,5,3000,US,US-Federal
3159,AR348583050436673536,REPUBLICAN PARTY OF FLORIDA,7,39700,US,US-Federal
3161,AR348630054558760960,FLORIDA EDUCATION ASSOCIATION,129,284600,US,US-Federal
3162,AR348658092105269248,BRONIN FOR HARTFORD,4,5800,US,US-Federal
3163,AR348694719586369536,CLAUDIA TENNEY FOR CONGRESS,10,10200,US,US-Federal
3164,AR348694822665584640,Women for a Stronger New Jersey,6,4100,US,US-Federal
3166,AR348815665865424896,ARIZONA DEMOCRATIC PARTY,25,75400,US,US-Federal
3169,AR349031170144468992,CULBERSON FOR CONGRESS,11,6800,US,US-Federal
3171,AR349464034128429056,EQUALITY CALIFORNIA POLITICAL ACTION COMMITTEE,11,4000,US,US-Federal
3172,AR349521071294119936,DETTELBACH FOR OHIO,5,3900,US,US-Federal
3173,AR349567113343533056,BLACKCLOUD FOR IOWA HOUSE,20,14100,US,US-Federal
3174,AR349830858695245824,EQUALITY CALIFORNIA,10,6900,US,US-Federal
3175,AR349937923640000512,DEMOCRATIC ACTION,40,17000,US,US-Federal
3176,AR34994019138273280,TONY FOR COUNTY EXECUTIVE INC,1,2200,US,US-Federal
3178,AR350053372360916992,M'LISSA CLARK,23,700,US,US-Federal
3180,AR350127177078931456,FIFTH INFLUENCE INC,1,200,US,US-Federal
3181,AR350209296853630976,BETO FOR AMERICA,214,681600,US,US-Federal
3183,AR350427549911744512,"NO LABELS ACTION, INC.",32,342600,US,US-Federal
3184,AR350443355391393792,DESI FOR CONGRESS,11,600,US,US-Federal
3185,AR350471805254762496,"PARTNERSHIP FOR AMERICA'S HEALTH CARE FUTURE, INC",13,73900,US,US-Federal
3186,AR350559078990217216,FRIENDS OF KERRY W. GIBSON,6,1500,US,US-Federal
3187,AR350606839026548736,SHANNON RUSSELL,3,100,US,US-Federal
3188,AR350656935525089280,COLORADANS FOR RESPONSIBLE ENERGY DEVELOPMENT,3,1600,US,US-Federal
3190,AR35080399520530432,KYLE SMITH VOTE FOR,11,100,US,US-Federal
3191,AR350812378981466112,EDUCATORS SUPPORTING TONY THURMOND FOR SUPERINTENDENT OF PUBLIC  INSTRUCTION 2018 SPONSORED BY TEACHERS ORGANIZATION,20,68100,US,US-Federal
3192,AR350857939994542080,"WORKING FAMILIES ORGANIZATION, INC.",34,41800,US,US-Federal
3193,AR350946519400054784,RADINOVICH FOR CONGRESS,40,7100,US,US-Federal
3195,AR351205591827349504,FRIENDS OF ERIC MOYER,45,200,US,US-Federal
3198,AR351655360802586624,"NO ON PROP 21: CALIFORNIANS FOR RESPONSIBLE HOUSING, A COALITION OF SENIORS, VETERANS, AFFORDABLE HOUSING ADVOCATES, LABOR & SOCIAL JUSTICE ORGANIZATIONS, SPONSORED BY CALIFORNIA APARTMENT ASSOCIATION",37,185000,US,US-Federal
3199,AR351681817801129984,TWGG LLC,1606,5400,US,US-Federal
3200,AR351743527891238912,CALIFORNIANS ALLIED FOR PATIENT PROTECTION INDEPENDENT EXPENDITURE ACCOUNT,2,11400,US,US-Federal
3201,AR351821249619427328,CASEY ASKAR FOR CONGRESS,8,2700,US,US-Federal
3202,AR352018165280014336,BALLARD FOR DELEGATE,7,13400,US,US-Federal
3203,AR352083414423175168,MARIO DIAZ-BALART FOR CONGRESS,32,16200,US,US-Federal
3204,AR352100113256022016,JOSH STEIN FOR ATTORNEY GENERAL,15,328500,US,US-Federal
3205,AR352116399772008448,ALEX MOONEY FOR CONGRESS,50,1500,US,US-Federal
3207,AR352295688886812672,ZACHARY MONAHAN,10,4100,US,US-Federal
3208,AR352527273523412992,"YES ON PROP 25, A COALITION OF JUSTICE REFORM AND LABOR ORGANIZATIONS",14,156000,US,US-Federal
3209,AR352645745901305856,"ORRA SGS, INC.",643,105500,US,US-Federal
3210,AR35267453936205824,FRIENDS OF VIKKI,6,1700,US,US-Federal
3211,AR352692131548102656,VOTEVETS ACTION FUND,12,187300,US,US-Federal
3213,AR35302913186201600,ALEX MORSE FOR CONGRESS,21,43800,US,US-Federal
3214,AR353180520869265408,BRAD JAYNE,56,2000,US,US-Federal
3215,AR353198319213740032,MAST FOR CONGRESS,86,34200,US,US-Federal
3216,AR353246560286408704,LET AMERICA VOTE PAC,106,116100,US,US-Federal
3217,AR353264770947743744,FRIENDS OF KEVIN PRIOLA,4,2900,US,US-Federal
3218,AR353450244815454208,PUTNAM FOR CONGRESS,29,1800,US,US-Federal
3219,AR353644514776186880,COMMITTEE TO ELECT MATTHEW WINSLOW,3,300,US,US-Federal
3220,AR353657537117028352,REP. ANTHONY BRINDISI - U.S. HOUSE OF REPRESENTATIVES,4,9600,US,US-Federal
3221,AR353679939666444288,ERIC GARCIA FOR CONGRESS,26,900,US,US-Federal
3223,AR353715570715131904,FRIENDS OF RHONDA MARTIN,3,1300,US,US-Federal
3225,AR353839815529070592,FRIENDS OF JOE WALTZ,5,2300,US,US-Federal
3226,AR353858129269620736,Oklahomans for Madison,2,0,US,US-Federal
3227,AR35420938887495680,DARIN SMITH FOR WYOMING,10,1000,US,US-Federal
3228,AR354324219120582656,TENNESSEE JOBS NOW,30,189400,US,US-Federal
3229,AR354358338340782080,"GOLDEN NOBLE MANAGEMENT, LLC",8,500,US,US-Federal
3230,AR354387784636563456,BRUNO PORTIGLIATTI CAMPAIGN,7,5300,US,US-Federal
3232,AR354460077526089728,Bechtold For Indiana,21,2600,US,US-Federal
3233,AR354677093633622016,VOICES FOR DEMOCRACY,10,1100,US,US-Federal
3234,AR35484332604784640,"REARDEN STRATEGIC, INC",42,4900,US,US-Federal
3236,AR354903043273129984,FEDERATION OF STATE VOTER LEAGUES,5,18900,US,US-Federal
3237,AR35497664183271424,"CLEVELAND'S FUTURE FUND, LLC",5,2900,US,US-Federal
3238,AR355032785645207552,YOUNG AMERICA'S FOUNDATION,432,132100,US,US-Federal
3239,AR355055325633576960,RAUL CAMPILLO FOR CITY COUNCIL DISTRICT 7,3,900,US,US-Federal
3241,AR355119921941708800,JACEY R. JETTON,3,27900,US,US-Federal
3242,AR35516321521205248,Friends of Wendy Gooditis,4,3400,US,US-Federal
3243,AR355267634456952832,LESLIE RUTLEDGE FOR GOVERNOR,1,200,US,US-Federal
3245,AR355460358229458944,DAN ROMANO FOR YONKERS CITY JUDGE,5,0,US,US-Federal
3246,AR355478087854456832,KBOULEVARD LLC,2,200,US,US-Federal
3247,AR355494924126257152,RPAC OF VIRGINIA,9,13700,US,US-Federal
3248,AR355849276108046336,FRIENDS FOR KATHY BARNETTE,7,1400,US,US-Federal
3249,AR356017948063694848,RACHEL FOR COLORADO,3,900,US,US-Federal
3250,AR3560699687075840,KEVIN COMBS,808,123200,US,US-Federal
3252,AR356167000608735232,GILL FOR INDIANA,3,200,US,US-Federal
3253,AR356229672771518464,"YES ON MEASURE V, VOTE AFFORDABLE SAN JOSE, SUPPORTED BY MAYOR  SAM LICCARDO",4,0,US,US-Federal
3254,AR356276470735175680,WILDE FOR OREGON,2,1100,US,US-Federal
3255,AR356402296097079296,"INTERNATIONAL UNION, UAW",284,63800,US,US-Federal
3256,AR356538498099970048,KARL GENTLES FOR CONGRESS,7,200,US,US-Federal
3257,AR356558220589793280,ALYSE FOR ALASKA,45,62500,US,US-Federal
3259,AR356641096278736896,"PROJECT YELLOWSTONE, INC",7,226000,US,US-Federal
3261,AR356808771801972736,ELECT ROZ PETERSON COMMITEE,7,7700,US,US-Federal
3262,AR356821347466215424,KIMFORCONGRESS,35,18500,US,US-Federal
3265,AR356996857009799168,TUBERVILLE FOR SENATE,33,15400,US,US-Federal
3267,AR357183361669660672,SHOWTIME NETWORKS INC,24,182500,US,US-Federal
3268,AR35731241684697088,ANN JOHNSON CAMPAIGN,14,81700,US,US-Federal
3270,AR357580628964671488,YOUGOV AMERICA INC.,26,25600,US,US-Federal
3271,AR35758111000100864,BEN MARCUS FOR STATE REPRESENTATIVE,1,500,US,US-Federal
3272,AR357625640221933568,DEBBIE LESKO FOR CONGRESS,7,6000,US,US-Federal
3273,AR357701918841110528,GILLIBRAND FOR SENATE,20,39900,US,US-Federal
3274,AR357953191607795712,"GEORGIANS FOR LATHAM, INC.",3,5700,US,US-Federal
3275,AR358014764258951168,ELIZABETH GUZMAN FOR DELEGATE,3,400,US,US-Federal
3276,AR358038369399209984,SHIVA 4 SENATE,82,77000,US,US-Federal
3277,AR358047509089615872,VICTORIA SPARTZ FOR CONGRESS,9,37300,US,US-Federal
3278,AR358134198709518336,MURPHY FOR SI,16,4100,US,US-Federal
3279,AR358136294653558784,MICHAEL LAPAGLIA COMMITTEE,17,3100,US,US-Federal
3281,AR358226420247298048,MISSOURI FOUNDATION FOR HEALTH,4,56800,US,US-Federal
3283,AR358437973156429824,MICHAEL TUBBS FOR STOCKTON MAYOR,16,15200,US,US-Federal
3284,AR358595615636062208,LISA GODZICH FOR HOUSE,3,100,US,US-Federal
3285,AR358655126702915584,LAURA B BUSH,3,900,US,US-Federal
3286,AR358838057949986816,FRIENDS OF CHRIS PIELLI,3,2600,US,US-Federal
3287,AR358902929136025600,"KOWAL FOR CONGRESS, INC",31,2000,US,US-Federal
3289,AR358975634342412288,DOLAN FOR MISSOURI,5,2100,US,US-Federal
3290,AR358979551352586240,CHRIS PAPPAS FOR CONGRESS,34,64200,US,US-Federal
3291,AR359064385546616832,ALEXIS GEVANTER FOR STATE SENATE,10,1900,US,US-Federal
3292,AR35908812812582912,JENNIFER BARBOSA FOR CONGRESS,1,0,US,US-Federal
3293,AR359094381598212096,THE GUARDIAN FUND,3,1200,US,US-Federal
3295,AR359276350772609024,ALLIANCE FOR YOUTH ACTION,3,1000,US,US-Federal
3297,AR359562086356877312,ENVIRONMENTAL LAW AND POLICY CENTER ACTION FUND,4,6700,US,US-Federal
3298,AR359595484022571008,HILTON MULTIMEDIA,36,62200,US,US-Federal
3300,AR359682482880118784,CHRIS LENGQUIST,3,0,US,US-Federal
3301,AR359708939878662144,ANNIE OLIVA FOR SENATE 2020,3,9600,US,US-Federal
3302,AR35971966011703296,JOHN ZODY FOR INDIANA,13,1000,US,US-Federal
3304,AR359844592125739008,FRIENDS OF JOHN H MERRILL FOR U.S. SENATE,7,1000,US,US-Federal
3305,AR359888847468756992,LISA BLUNT ROCHESTER FOR CONGRESS,1,5400,US,US-Federal
3306,AR359960590602469376,GINA ORTIZ JONES FOR CONGRESS,106,87900,US,US-Federal
3308,AR36000656393240576,TARA DURANT FOR DELEGATE,1,3500,US,US-Federal
3309,AR360017284170776576,PERSPECTIVE WEALTH PLANNING,4,300,US,US-Federal
3310,AR360074664933851136,GRETCHEN DRISKELL FOR CONGRESS,7,17900,US,US-Federal
3311,AR360142697215819776,CAMERON KOFFMAN FOR ASSEMBLY,19,13200,US,US-Federal
3312,AR360160426840817664,JOE MORELLE FOR CONGRESS,57,25500,US,US-Federal
3313,AR360266667151851520,GEORGE PAPADOPOULOS FOR CONGRESS,18,800,US,US-Federal
3314,AR36037215154864128,CHRISTINA BOHANNAN FOR CONGRESS,2,1200,US,US-Federal
3315,AR360451728702701568,BENJAMIN M CHIPMAN,4,400,US,US-Federal
3316,AR360564909680885760,CHRISTY SMITH FOR ASSEMBLY 2018,2,4000,US,US-Federal
3317,AR36059239747158016,SARAH THOMAS KOVOOR,1,100,US,US-Federal
3318,AR360780070362546176,"LEARFIELD NEWS & AG, LLC",18,17600,US,US-Federal
3319,AR360808382786961408,JUNE S SPEAKMAN,3,700,US,US-Federal
3321,AR360971522824732672,FRANK FLEMING,4,200,US,US-Federal
3323,AR361086490509312000,JAMES WALKINSHAW FOR BRADDOCK SUPERVISOR,2,6000,US,US-Federal
3326,AR361386176147357696,TURN THE PAGE,2,0,US,US-Federal
3327,AR361416069119737856,DSCC & DONNELLY FOR INDIANA,42,209200,US,US-Federal
3328,AR361655968813023232,MISSOURIANS FOR HEALTHCARE,2,6100,US,US-Federal
3329,AR361919404927090688,ALLY FOR UTAH,6,2500,US,US-Federal
3330,AR361973315356590080,MICHIGAN EDUCATION ASSOCIATION,7,11100,US,US-Federal
3331,AR362001971378388992,VOTE LIBERATION,3,13600,US,US-Federal
3332,AR362200192709033984,GARY BLACK FOR SENATE INC.,12,18700,US,US-Federal
3335,AR362479296863797248,TESSIO LABS,8,13200,US,US-Federal
3339,AR363000671533793280,COMMITTEE TO ELECT HAL SLAGER,4,400,US,US-Federal
3340,AR363024311033790464,DIXON FOR ASSEMBLY 2020,3,14900,US,US-Federal
3342,AR36325596438986752,ONEVIRGINIA2021 FOUNDATION,3,2100,US,US-Federal
3343,AR363284001936375808,COMMITTEE TO ELECT MEG LOUGHRAN CAPPEL,44,800,US,US-Federal
3344,AR363452364654379008,WOMEN-VOTE,2,66200,US,US-Federal
3345,AR363477034946527232,FAITH IN MINNESOTA,2,6500,US,US-Federal
3346,AR363762426933411840,VAN TAYLOR CAMPAIGN,35,95500,US,US-Federal
3347,AR363790636278611968,REP. DONALD NORCROSS - U.S. HOUSE OF REPRESENTATIVES,727,4800,US,US-Federal
3348,AR363807163312766976,BRAND (JEFF) FOR HOUSE,32,7600,US,US-Federal
3349,AR363842038447210496,FASCINATING CARDS LLC,8,3600,US,US-Federal
3350,AR363846951889797120,JAKE ELLZEY CAMPAIGN,12,2500,US,US-Federal
3351,AR36409434200604672,BARBARA BRY FOR SAN DIEGO MAYOR 2020,15,23500,US,US-Federal
3352,AR364406122271997952,CITIZENS FOR BRIDGET WALSH MOORE,30,3600,US,US-Federal
3353,AR364457318282166272,"MANHATTAN INSTITUTE FOR POLICY RESEARCH, INC.",265,32900,US,US-Federal
3355,AR364614445365723136,YES ON PROP. 119,7,32100,US,US-Federal
3356,AR364664782382432256,"MARSY'S LAW FOR KENTUCKY, LLC",45,111500,US,US-Federal
3357,AR364702646814113792,YVETTE4CONGRESS,8,20400,US,US-Federal
3358,AR364765662574280704,FAIRVOTE MINNESOTA,24,13100,US,US-Federal
3360,AR36520897191870464,OREGONIANS FOR BALLOT ACCESS,59,31100,US,US-Federal
3362,AR36549209616285696,Guillermina Gonzalez for Delaware,11,200,US,US-Federal
3363,AR365511337616343040,FARNEN FOR FAIRFIELD,15,1800,US,US-Federal
3364,AR365615413263859712,ABBSON LLC,12,2700,US,US-Federal
3365,AR365627198654119936,LAUREN BAER FOR CONGRESS,14,4900,US,US-Federal
3366,AR365806487768924160,DAVE NICPONSKI,2,0,US,US-Federal
3367,AR365858852010196992,"NO ON PROP 21 - CALIFORNIANS TO PROTECT AFFORDABLE HOUSING - A COALITION OF HOUSING ADVOCATES, RENTERS, BUSINESSES, TAXPAYERS, AND VETERANS",5,0,US,US-Federal
3368,AR365899533940424704,REPUBLICAN PARTY OF ST. CROIX COUNTY,1,1300,US,US-Federal
3369,AR365901389366296576,CALIFORNIANS FOR STRONG SCHOOLS AND HEALTHY COMMUNITIES,1,4800,US,US-Federal
3370,AR365919668747108352,CITIZENS FOR TURNER,8,13300,US,US-Federal
3371,AR365976224876462080,COMMITTEE TO ELECT ERIN PARE,2,3800,US,US-Federal
3373,AR366128369797955584,DALY FOR ASSEMBLY DISTRICT 31,2,800,US,US-Federal
3374,AR366181352514519040,MIKE BOST FOR CONGRESS COMMITTEE,87,47000,US,US-Federal
3375,AR366239214313930752,HILLCREST FILMS,1,100,US,US-Federal
3376,AR366644246909812736,FRIENDS OF BEN MCADAMS,12,15400,US,US-Federal
3378,AR366955408700473344,SUSAN WILD FOR CONGRESS,74,69300,US,US-Federal
3381,AR367008666294943744,NATALIE TENNANT 2020,258,5600,US,US-Federal
3382,AR367015675681570816,FRIENDS OF DAVID PERDUE,36,783400,US,US-Federal
3383,AR367017737265872896,MARINDA KIMMEL FOR HOUSE,14,4100,US,US-Federal
3384,AR367118617457721344,Wild Montana,3,1100,US,US-Federal
3385,AR36712349654056960,FAITH IN PUBLIC LIFE ACTION FUND,2,43200,US,US-Federal
3386,AR367155313658298368,DUTY AND HONOR,29,223400,US,US-Federal
3387,AR367164041031843840,ABBIE HODGSON FOR CONGRESS,16,2900,US,US-Federal
3388,AR367168335999139840,REP. CLAUDIA TENNEY -  U.S. HOUSE OF REPRESENTATIVES,36,5500,US,US-Federal
3391,AR367583573437317120,DENNIS HORLANDER FOR STATE REPRESENTATIVE,6,100,US,US-Federal
3392,AR367898583518674944,MEDIA RESEARCH CENTER,1,400,US,US-Federal
3393,AR367917962411114496,MN DFL STATE CENTRAL COMMITTEE,15,4100,US,US-Federal
3395,AR368005751542644736,SANDVIG FOR CONGRESS,9,100,US,US-Federal
3397,AR368090791895105536,KATHALEEN WALL FOR CONGRESS,111,18400,US,US-Federal
3398,AR368193939829686272,EDUARDO BRODSKY CAMPAIGN,1,200,US,US-Federal
3399,AR368282931552059392,TRICIA ZUNKER FOR WISCONSIN,6,400,US,US-Federal
3400,AR36831440507240448,CONOR LAMB FOR CONGRESS,23,14600,US,US-Federal
3402,AR368545302514237440,"IVC MEDIA, LLC",40,48700,US,US-Federal
3403,AR368763143255490560,MEISSNER 2020,1,500,US,US-Federal
3404,AR368870002041815040,JIM WALSH FOR SUPREME COURT,1,0,US,US-Federal
3405,AR368960917909536768,ELISSA SLOTKIN FOR CONGRESS,50,127200,US,US-Federal
3406,AR368971157111570432,"ENERGY NETWORK, LLC",36,700,US,US-Federal
3407,AR369036028297609216,FRIENDS OF STEVE OTIS,2,8400,US,US-Federal
3409,AR369093683938590720,TEXAS DEMOCRATIC PARTY,80,26000,US,US-Federal
3411,AR369313792422576128,NM WORKING FAMILIES PARTY PAC,3,600,US,US-Federal
3412,AR36937749537751040,PRO JOBS MAJORITY,20,20000,US,US-Federal
3413,AR369458240762675200,STATE OF ARIZONA,94,20000,US,US-Federal
3414,AR369595920234315776,KARISHMA FOR VIRGINIA,2,3300,US,US-Federal
3415,AR369609835928354816,WITKOS 2020,4,2700,US,US-Federal
3416,AR369693673689972736,MICHAEL 2020,10,1600,US,US-Federal
3417,AR369714426971947008,TACTICAL CAMPAIGNS,28,7400,US,US-Federal
3418,AR369768715358568448,COMMITTEE TO ELECT MARY BRADFIELD,5,800,US,US-Federal
3419,AR369882789689950208,FRIENDS OF ROSA DELAURO,3,800,US,US-Federal
3421,AR370298061487865856,MUES FOR MONTANA,13,800,US,US-Federal
3422,AR37040244637302784,COMMUNICATIONS WORKERS OF AMERICA WORKING VOICES,5,11900,US,US-Federal
3423,AR370417564657909760,CAWTHORN FOR NC,142,75300,US,US-Federal
3424,AR370533013378826240,COMMITEE TO ELECT JOHN COLLICK,4,600,US,US-Federal
3425,AR370546035719667712,REP. STEVEN HORSFORD - U.S. HOUSE OF REPRESENTATIVES,3,2400,US,US-Federal
3427,AR370764666734903296,"ENDEAVOR MEDIA GROUP, LLC",10,2100,US,US-Federal
3428,AR370777242399145984,TERRY FOR VIRGINIA,1175,5234800,US,US-Federal
3429,AR370886472007417856,The Pat McCrory Committee,15,10300,US,US-Federal
3431,AR371002504843886592,TIM KELLY FOR MAYOR,30,12600,US,US-Federal
3432,AR371015836422373376,CLAIRE FOR BOULDER COUNTY,1,700,US,US-Federal
3433,AR371060882039373824,KRILE COMMUNICATIONS,1,0,US,US-Federal
3434,AR371161521713053696,KEVIN WILSON FOR CONGRESS,10,700,US,US-Federal
3436,AR37127002976681984,NATIONAL WOMEN'S LAW CENTER,1,100,US,US-Federal
3437,AR371276283239202816,AHLERS FOR SENATE,24,6400,US,US-Federal
3438,AR371295662131642368,FRIENDS OF AMY SPIEKER,1,1500,US,US-Federal
3439,AR371420181823488000,FLORIDA REPUBLICAN SENATORIAL CAMPAIGN COMMITTEE,3,5300,US,US-Federal
3441,AR371490138250805248,WISCONSIN ALLIANCE FOR REFORM,22,30700,US,US-Federal
3442,AR371642936007327744,ADVANCING AMERICAN FREEDOM INC,8,7700,US,US-Federal
3443,AR371703787103977472,CITIZENS FOR ERIKA HAROLD,16,2700,US,US-Federal
3444,AR371725193220980736,Hold Idaho Accountable Inc,1,0,US,US-Federal
3445,AR371789067974606848,FRIENDS OF SAMUEL CARRION,27,1200,US,US-Federal
3446,AR371946023259471872,TEMPE FIRST,2,1000,US,US-Federal
3447,AR372136788526891008,EDWARD V LAUING,6,0,US,US-Federal
3449,AR372338617630064640,TED CRUZ FOR SENATE,101,418100,US,US-Federal
3450,AR372368922919305216,MONTANANS FOR BULLOCK,1078,2010400,US,US-Federal
